ID,Company Name,Trading Name,Category,License Type,Status,Date Issued,Website,Headquarters
1,M_Service Joint Stock Company,MoMo,E-Wallet,Payment Intermediary,Active,2015-09-14,momo.vn,Ho Chi Minh City
2,Vietnam Payment Solution JSC,VNPay,E-Wallet,Payment Intermediary,Active,2014-05-20,vnpay.vn,Hanoi
3,ZaloPay (VNG Corporation),ZaloPay,E-Wallet,Payment Intermediary,Active,2017-11-08,zalopay.vn,Ho Chi Minh City
4,Viettel Digital Services Corporation,Viettel Money,E-Wallet,Payment Intermediary,Active,2019-06-15,viettelmoney.vn,Hanoi
5,ShopeePay Vietnam,ShopeePay,E-Wallet,Payment Intermediary,Active,2019-12-01,shopeepay.vn,Ho Chi Minh City
6,NAPAS (National Payment Corporation of Vietnam),NAPAS,Payment Infrastructure,Payment Switching,Active,2004-03-01,napas.com.vn,Hanoi
7,FE Credit (VPBank Finance Company),FE Credit,Consumer Lending,Consumer Finance License,Active,2010-02-10,fecredit.com.vn,Ho Chi Minh City
8,Tima Joint Stock Company,Tima,P2P Lending,Fintech Sandbox,Active,2016-01-20,tima.vn,Hanoi
9,Finhay Technology JSC,Finhay,Investment,Securities Brokerage,Active,2017-08-05,finhay.com.vn,Ho Chi Minh City
10,Infina Investment JSC,Infina,Investment,Securities Advisory,Active,2019-03-12,infina.vn,Ho Chi Minh City
11,Mfast Technology JSC,Mfast,Insurance Distribution,InsurTech License,Active,2019-07-22,mfast.vn,Ho Chi Minh City
12,Papaya Insurtech JSC,Papaya,Insurance Distribution,InsurTech License,Active,2020-04-15,papaya.vn,Ho Chi Minh City
13,Trusting Social Vietnam,Trusting Social,Credit Scoring,Fintech Sandbox,Active,2016-11-30,trustingsocial.com,Ho Chi Minh City
14,VietCredit Finance Company,VietCredit,Consumer Lending,Consumer Finance License,Active,2017-06-18,vietcredit.com.vn,Ho Chi Minh City
15,OneFin Vietnam JSC,OneFin,Payment Gateway,Payment Intermediary,Active,2018-09-10,onefin.vn,Hanoi
16,PayME Digital JSC,PayME,E-Wallet,Payment Intermediary,Active,2020-01-08,payme.vn,Ho Chi Minh City
17,Payoo (VietUnion Online Services),Payoo,Payment Gateway,Payment Intermediary,Active,2008-06-25,payoo.vn,Ho Chi Minh City
18,SmartPay JSC,SmartPay,E-Wallet,Payment Intermediary,Active,2018-11-14,smartpay.vn,Ho Chi Minh City
19,Vimo Technology JSC,Vimo,E-Wallet,Payment Intermediary,Suspended,2016-04-20,vimo.vn,Hanoi
20,MCredit (MB Shinsei Finance),MCredit,Consumer Lending,Consumer Finance License,Active,2016-12-05,mcredit.com.vn,Hanoi
21,Robocash Vietnam,Robocash,P2P Lending,Fintech Sandbox,Active,2018-05-18,robocash.vn,Ho Chi Minh City
22,Lendela Vietnam,Lendela,Loan Marketplace,Fintech Sandbox,Active,2020-07-01,lendela.com,Ho Chi Minh City
23,VNPT Money (VNPT-Media),VNPT Money,E-Wallet,Payment Intermediary,Active,2020-03-22,vnptmoney.vn,Hanoi
24,Galaxy Fintech JSC,Galaxy Pay,E-Wallet,Payment Intermediary,Pending,2021-06-10,galaxypay.vn,Ho Chi Minh City
25,Fundiin Vietnam JSC,Fundiin,Buy Now Pay Later,Fintech Sandbox,Active,2019-10-15,fundiin.vn,Ho Chi Minh City
26,Kredivo Vietnam (FinAccel),Kredivo,Buy Now Pay Later,Consumer Finance License,Active,2021-02-28,kredivo.vn,Ho Chi Minh City
27,VNLife Corporation,VNLife,Payment Infrastructure,Payment Intermediary,Active,2019-08-12,vnlife.vn,Hanoi
28,ECPay Vietnam,ECPay,Payment Gateway,Payment Intermediary,Active,2009-04-15,ecpay.vn,Ho Chi Minh City
